id,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2_5,air_quality_PM10,air_quality_us_epa_index,air_quality_gb_defra_index
157,694.3,44.7,41.5,30.3,23.6,26.2,2,2
158,243.7,62.9,4.7,3.0,12.1,12.7,1,2
159,217.0,85.8,1.2,0.8,3.0,3.6,1,1
160,186.9,41.8,1.4,1.0,1.3,2.8,1,1
161,186.9,30.4,0.0,0.2,7.8,16.2,1,1
162,614.2,128.8,13.2,52.5,56.3,79.1,3,7
163,307.1,35.8,16.6,5.7,4.9,5.7,1,1
164,273.7,22.7,0.3,0.2,8.1,39.6,1,1
165,233.7,117.3,5.1,0.4,2.5,3.6,1,1
166,210.3,25.0,4.2,2.7,1.5,3.8,1,1
167,290.4,42.9,0.8,0.7,13.0,68.5,1,2
168,217.0,19.3,0.3,0.4,1.0,2.9,1,1
169,230.3,51.5,8.1,9.5,2.8,6.1,1,1
170,207.0,57.2,3.4,1.3,4.1,4.2,1,1
171,213.6,127.3,2.3,3.8,6.9,9.7,1,1
172,195.3,104.4,0.3,1.1,2.0,5.6,1,1
173,203.6,37.6,0.1,0.2,1.4,2.6,1,1
174,687.6,8.3,26.1,19.1,10.0,19.9,1,1
175,547.4,147.3,6.3,10.3,41.1,54.0,3,4
176,217.0,86.6,0.7,0.7,7.5,8.4,1,1
177,200.3,75.8,0.3,0.5,1.2,5.5,1,1
178,203.6,9.7,5.6,0.8,2.1,5.5,1,1
179,203.6,85.8,1.1,0.9,2.4,8.5,1,1
180,243.7,163.1,5.7,11.2,13.3,14.4,1,2
181,263.7,223.2,7.1,17.6,19.0,36.8,2,2
182,158.6,29.0,0.0,0.1,1.6,6.8,1,1
183,323.8,45.8,0.8,1.2,4.0,7.4,1,1
184,208.6,70.1,0.5,1.2,13.3,16.2,1,2
185,390.5,320.4,11.1,9.4,82.6,126.1,4,10
186,277.0,57.2,14.6,10.1,4.0,6.1,1,1
187,237.0,65.1,1.4,0.7,9.6,10.9,1,1
188,290.4,26.5,5.7,5.1,2.8,5.4,1,1
189,237.0,133.0,3.4,2.0,7.1,23.1,1,1
190,190.3,62.9,0.0,0.2,4.8,10.4,1,1
191,814.4,0.0,40.4,40.5,25.6,27.2,2,3
192,387.2,90.1,6.2,5.2,12.9,16.7,1,2
193,158.6,114.4,1.2,6.7,17.5,47.1,2,2
194,881.2,75.8,1.5,3.5,17.3,23.6,2,2
195,417.2,75.8,2.2,8.7,17.4,21.5,2,2
196,2964.0,57.2,20.9,0.8,31.7,39.3,2,3
197,217.0,75.8,0.9,0.4,4.5,6.6,1,1
198,273.7,35.1,36.7,9.8,5.3,14.0,1,1
199,191.9,35.1,0.9,0.1,0.8,1.1,1,1
200,520.7,62.9,1.6,2.0,8.5,23.1,1,1
201,240.3,23.6,0.6,0.6,7.7,14.2,1,1
202,327.1,21.5,16.8,2.0,2.9,4.0,1,1
203,198.6,29.3,4.7,0.4,2.2,2.5,1,1
204,205.3,52.2,0.8,0.6,3.8,5.8,1,1
205,217.0,41.8,3.6,1.3,3.0,3.4,1,1
206,240.3,77.3,2.9,0.9,0.9,2.0,1,1
207,270.4,55.8,5.3,7.6,13.9,16.8,1,2
208,300.4,100.1,5.7,4.3,28.7,73.1,2,3
209,2510.1,0.9,24.0,8.7,153.9,186.2,5,10
210,280.4,14.3,1.3,1.0,2.3,4.6,1,1
211,230.3,45.8,5.1,7.5,8.3,8.9,1,1
212,260.4,21.5,12.9,1.1,11.2,14.0,1,1
213,208.6,7.7,0.7,0.2,2.9,3.1,1,1
214,433.9,29.3,1.2,0.6,6.3,12.4,1,1
215,397.2,38.6,0.1,0.1,14.1,14.4,1,2
216,280.4,26.8,2.2,0.7,11.8,14.3,1,1
217,166.9,18.1,1.3,0.1,1.7,2.6,1,1
218,253.7,32.9,1.6,0.7,2.7,4.3,1,1
219,363.8,25.8,0.4,0.3,2.8,3.8,1,1
220,330.5,39.7,1.6,1.3,2.3,2.5,1,1
221,237.0,9.8,6.4,0.3,10.3,12.4,1,1
222,487.3,9.6,1.5,0.6,5.0,10.8,1,1
223,594.1,15.2,4.8,0.5,28.7,65.1,2,3
224,185.3,14.1,0.3,0.0,2.4,3.9,1,1
225,185.3,65.1,0.5,0.2,17.5,102.6,2,2
226,287.1,31.8,1.8,1.4,1.8,6.5,1,1
227,580.8,8.1,2.4,0.2,14.7,19.7,1,2
228,227.0,61.5,1.0,0.1,2.7,2.9,1,1
229,213.6,0.2,0.1,0.0,0.6,0.9,1,1
230,467.3,20.4,0.7,0.4,8.5,10.8,1,1
231,6568.9,0.0,52.8,7.6,537.3,644.5,6,10
232,1335.1,31.5,154.9,167.9,150.9,186.0,5,10
233,253.7,87.3,0.6,0.3,7.9,8.1,1,1
234,217.0,53.6,0.1,0.3,4.6,10.5,1,1
235,767.7,18.6,4.3,0.6,38.4,51.3,2,4
236,574.1,19.3,21.6,17.9,37.4,38.6,2,4
237,217.0,47.2,2.7,0.3,2.6,2.8,1,1
238,287.1,20.6,6.4,17.9,5.3,6.2,1,1
239,253.7,52.2,4.1,4.1,20.8,33.8,2,2
240,217.0,32.5,7.9,4.1,4.6,5.5,1,1
241,767.7,18.6,4.3,0.6,38.4,51.3,2,4
242,243.7,16.1,9.7,0.6,3.8,5.7,1,1
243,400.5,63.7,0.1,0.1,9.1,14.8,1,1
244,240.3,16.6,0.7,0.2,2.4,4.6,1,1
245,1014.7,0.0,18.3,12.9,20.5,32.3,2,2
246,4272.5,0.0,98.7,68.7,32.0,37.7,2,3
247,277.0,19.5,19.4,8.0,26.9,38.4,2,3
248,383.9,29.0,10.7,12.0,12.6,16.6,1,2
249,347.1,33.6,0.0,0.1,1.7,2.0,1,1
250,277.0,32.2,0.8,0.2,25.2,82.3,2,3
251,196.9,44.0,4.5,2.4,3.3,3.7,1,1
252,313.8,27.5,1.8,0.6,10.7,14.4,1,1
253,494.0,12.3,3.8,0.7,12.8,95.8,1,2
254,191.9,54.4,1.4,2.0,3.3,10.7,1,1
255,257.0,45.8,17.5,5.3,7.8,9.8,1,1
256,300.4,15.0,13.0,1.1,9.7,12.6,1,1
257,387.2,29.7,1.2,1.5,4.9,7.9,1,1
258,280.4,32.9,0.4,0.2,1.1,1.7,1,1
259,140.2,5.0,2.0,0.0,3.5,5.0,1,1
260,208.6,48.6,3.8,1.6,3.9,4.3,1,1
261,447.3,17.7,1.7,0.7,6.1,10.9,1,1
262,343.8,72.2,9.3,8.1,27.2,31.7,2,3
263,257.0,27.9,1.2,0.8,1.8,3.8,1,1
264,600.8,15.9,19.4,64.9,36.5,43.0,2,4
265,367.2,24.3,0.3,0.1,0.8,2.3,1,1
266,387.2,20.2,0.4,0.3,1.0,1.6,1,1
267,250.3,10.6,4.5,3.8,1.6,6.3,1,1
268,801.1,30.4,12.9,7.3,8.1,21.1,1,1
269,313.8,17.5,10.2,0.4,5.4,7.1,1,1
270,907.9,0.1,12.7,1.3,9.4,30.1,1,1
271,267.0,35.4,4.9,1.4,13.5,14.5,1,2
272,247.0,57.9,0.2,0.3,1.3,2.5,1,1
273,370.5,43.6,9.9,8.6,15.4,38.3,1,2
274,5928.0,4.6,82.3,69.6,243.3,317.8,5,10
275,440.6,8.1,85.0,29.3,14.8,39.6,1,2
276,233.7,74.4,3.5,3.7,12.6,41.1,1,2
277,233.7,51.5,2.5,1.0,2.9,6.4,1,1
278,297.1,31.5,31.9,3.4,15.4,29.6,1,2
279,313.8,17.5,10.2,0.4,5.4,7.1,1,1
280,727.7,14.5,10.7,3.4,11.1,22.3,1,1
281,200.3,20.4,23.3,21.2,4.8,6.3,1,1
282,303.8,37.2,16.1,4.4,19.2,34.2,2,2
283,233.7,75.1,5.2,11.7,4.7,12.8,1,1
284,620.8,35.1,5.8,6.6,8.7,21.4,1,1
285,150.2,13.4,0.0,0.1,0.7,3.5,1,1
286,223.6,95.8,2.4,4.9,25.8,84.3,2,3
287,337.1,20.9,24.3,8.5,5.8,8.3,1,1
288,787.7,51.5,10.0,3.4,20.4,37.5,2,2
289,213.6,50.8,4.0,1.6,2.9,3.3,1,1
290,227.0,95.8,1.6,2.8,13.1,27.6,1,2
291,847.8,14.3,11.5,1.6,64.7,74.4,3,8
292,223.6,44.4,0.2,0.2,1.5,1.9,1,1
293,343.8,7.0,3.6,0.8,4.1,4.7,1,1
294,212.0,26.8,10.3,1.9,5.5,6.6,1,1
295,217.0,48.6,1.7,1.7,7.6,8.5,1,1
296,186.9,1.5,17.0,1.1,6.1,7.6,1,1
297,267.0,52.9,0.7,0.8,2.1,4.6,1,1
298,403.9,44.7,1.4,0.6,4.4,6.1,1,1
299,3418.0,4.4,78.8,57.2,51.1,60.1,3,6
300,173.6,23.6,0.5,0.3,1.0,2.4,1,1
301,1108.2,1.3,6.1,1.3,42.1,47.7,3,5
302,200.3,88.7,0.4,0.7,3.2,13.2,1,1
303,161.9,29.7,0.0,0.1,1.8,4.8,1,1
304,320.4,42.9,1.9,2.0,14.9,40.7,1,2
305,223.6,52.2,3.0,2.8,5.8,10.5,1,1
306,337.1,40.1,17.8,14.7,6.6,10.4,1,1
307,158.6,9.2,0.0,0.0,0.5,0.8,1,1
308,175.2,25.4,1.1,0.9,1.7,1.9,1,1
309,183.6,20.0,2.9,0.4,2.6,3.2,1,1
310,220.3,36.5,9.3,7.1,5.5,7.6,1,1
311,190.3,41.8,1.7,0.4,3.0,3.9,1,1
312,213.6,88.0,0.9,1.6,10.0,46.7,1,1
313,807.8,18.4,5.7,0.8,26.5,49.8,2,3
314,383.9,36.5,2.0,0.5,21.3,24.3,2,2
315,313.8,41.8,0.8,1.2,15.5,21.1,2,2
316,293.7,20.2,9.1,1.0,25.0,28.6,2,3
317,1508.7,24.7,14.6,1.9,77.4,103.6,4,10
318,260.4,60.1,13.2,3.3,6.1,7.9,1,1
319,213.6,60.1,0.1,0.2,1.2,2.0,1,1
320,297.1,9.6,5.7,11.0,13.2,16.4,1,2
321,420.6,23.3,0.4,0.2,4.8,6.0,1,1
322,654.2,28.6,0.9,0.2,13.5,14.1,1,2
323,250.3,77.3,1.2,4.8,9.4,12.3,1,1
324,320.4,70.8,4.2,10.9,22.2,23.7,2,2
325,243.7,31.8,10.9,6.3,2.4,3.6,1,1
326,185.3,64.4,2.2,0.9,44.3,142.6,3,5
327,647.5,98.7,8.7,5.1,46.3,53.2,3,5
328,203.6,12.5,0.1,0.1,0.8,2.1,1,1
329,514.0,31.5,0.5,0.1,19.1,19.3,2,2
330,801.1,4.7,19.0,11.8,8.6,11.4,1,1
331,207.0,69.4,1.2,1.7,3.0,11.5,1,1
332,370.5,25.8,0.7,0.1,12.0,12.3,1,2
333,370.5,38.6,18.5,10.3,12.6,25.8,1,2
334,330.5,47.2,6.6,1.9,2.2,5.9,1,1
335,253.7,28.6,5.2,2.2,19.1,20.0,2,2
336,217.0,65.8,1.2,0.7,3.6,8.3,1,1
337,263.7,57.2,32.6,36.2,35.7,67.3,2,3
338,250.3,50.8,4.5,0.8,12.4,13.4,1,2
339,377.2,0.0,24.7,13.8,16.4,20.3,2,2
340,680.9,20.2,8.1,1.3,31.5,46.4,2,3
341,250.3,16.1,0.4,0.2,3.2,8.3,1,1
342,208.6,22.2,0.1,0.2,2.7,5.7,1,1
343,267.0,18.6,0.2,0.1,2.5,5.9,1,1
344,185.3,52.9,0.2,0.3,3.0,13.0,1,1
345,237.0,54.4,3.8,1.0,2.6,2.9,1,1
346,297.1,34.3,23.7,6.6,9.8,12.8,1,1
347,190.3,98.7,5.1,19.3,71.6,375.0,4,10
348,263.7,34.3,0.6,0.4,4.3,5.0,1,1
349,273.7,20.0,7.5,1.0,19.2,20.8,2,2
350,193.6,54.4,0.2,0.6,6.2,10.0,1,1
351,347.1,21.3,0.5,0.1,1.2,1.8,1,1
352,694.3,1.3,32.9,32.4,10.5,12.6,1,1
353,213.6,47.2,3.1,0.8,2.6,3.0,1,1
354,203.6,41.8,2.3,0.9,2.3,2.6,1,1
355,196.9,36.1,1.2,1.0,1.0,1.2,1,1
356,191.9,34.7,0.1,0.3,10.4,18.0,1,1
357,367.2,46.5,5.1,8.0,9.4,16.8,1,1
358,654.2,47.2,80.9,37.2,65.2,70.5,3,9
359,253.7,14.8,0.3,0.1,8.9,22.2,1,1
360,253.7,30.8,17.1,0.3,1.4,2.4,1,1
361,270.4,26.1,9.3,3.8,2.4,4.8,1,1
362,287.1,33.3,0.8,0.5,10.7,31.6,1,1
363,287.1,23.3,0.1,0.1,2.0,7.3,1,1
364,213.6,47.9,8.7,6.2,5.7,7.2,1,1
365,210.3,28.6,7.4,1.9,5.9,6.4,1,1
366,267.0,25.0,12.0,4.2,16.6,28.4,2,2
367,188.6,44.7,1.7,2.2,1.6,2.7,1,1
368,263.7,40.1,0.5,0.2,3.3,4.4,1,1
369,1014.7,2.9,23.7,24.8,16.0,34.3,2,2
370,507.4,66.5,5.7,5.1,22.7,36.7,2,2
371,250.3,61.5,1.1,0.3,5.7,6.0,1,1
372,193.6,74.4,0.2,0.5,2.0,10.6,1,1
373,270.4,5.4,8.4,0.9,0.7,1.1,1,1
374,220.3,30.0,2.6,0.6,5.2,14.4,1,1
375,350.5,4.9,30.2,7.6,13.0,14.9,1,2
376,240.3,85.8,1.8,1.2,9.0,25.4,1,1
377,166.9,11.0,0.0,0.1,1.7,7.3,1,1
378,554.1,4.0,3.7,0.8,33.7,48.5,2,3
379,210.3,49.4,1.7,1.8,4.1,4.9,1,1
380,240.3,77.3,13.2,9.3,32.9,81.7,2,3
381,247.0,50.8,8.7,5.1,3.4,6.1,1,1
382,168.6,60.1,1.2,0.6,0.6,0.7,1,1
383,307.1,25.4,6.0,3.4,3.3,6.1,1,1
384,474.0,10.4,43.9,5.1,6.3,11.4,1,1
385,181.9,62.9,0.0,0.1,2.7,6.7,1,1
386,487.3,23.6,23.0,28.4,8.5,11.1,1,1
387,654.2,75.8,14.1,8.7,35.0,48.8,2,3
388,230.3,41.8,21.8,39.6,26.9,65.8,2,3
389,988.0,43.6,4.2,4.0,7.3,12.7,1,1
390,270.4,36.8,3.5,5.4,6.6,8.6,1,1
391,754.4,46.5,6.4,0.4,7.7,12.8,1,1
392,201.9,72.2,1.1,1.1,4.2,7.8,1,1
393,223.6,81.5,5.9,1.9,1.9,4.5,1,1
394,153.5,27.2,1.6,0.1,1.0,1.3,1,1
395,587.5,66.5,2.8,2.5,8.9,20.8,1,1
396,195.3,25.4,0.8,0.8,4.5,8.1,1,1
397,350.5,42.6,12.9,3.2,10.8,13.0,1,1
398,195.3,20.6,2.6,0.2,1.6,1.8,1,1
399,210.3,33.6,5.8,0.7,1.1,1.7,1,1
400,212.0,21.5,8.0,0.2,2.4,3.5,1,1
401,247.0,55.8,3.8,1.1,1.9,5.8,1,1
402,403.9,42.2,1.3,1.3,2.5,5.2,1,1
403,247.0,150.2,0.1,4.6,40.8,75.0,3,4
404,761.0,29.0,23.3,11.9,82.6,88.2,4,10
405,237.0,21.5,3.3,1.7,5.8,16.4,1,1
406,233.7,52.2,2.6,4.1,7.0,7.2,1,1
407,263.7,39.3,13.2,1.0,5.9,10.0,1,1
408,233.7,11.4,0.2,0.2,1.6,1.7,1,1
409,494.0,36.1,2.6,1.6,10.9,19.1,1,1
410,360.5,30.8,0.3,0.1,10.0,10.3,1,1
411,313.8,22.2,1.4,0.4,4.7,5.9,1,1
412,166.9,11.6,1.0,0.1,1.4,2.3,1,1
413,410.6,40.4,6.3,0.6,26.5,28.4,2,3
414,380.5,40.8,0.3,0.3,2.0,2.7,1,1
415,277.0,4.5,4.1,2.5,1.9,2.2,1,1
416,207.0,13.2,4.6,0.2,6.5,9.5,1,1
417,1188.3,0.9,8.5,2.9,43.6,70.5,3,5
418,894.6,17.0,7.2,0.9,43.5,86.9,3,5
419,193.6,52.9,0.1,0.1,1.1,2.2,1,1
420,208.6,49.4,0.9,0.2,9.8,12.4,1,1
421,367.2,21.3,3.1,1.6,2.8,7.7,1,1
422,427.3,12.2,1.6,0.3,4.5,7.3,1,1
423,217.0,31.5,0.4,0.0,0.5,0.5,1,1
424,297.1,0.0,0.2,0.1,7.6,8.1,1,1
425,554.1,12.3,1.4,0.7,20.4,30.7,2,2
426,2990.7,3.4,56.2,7.8,180.3,232.6,5,10
427,1121.5,0.2,33.6,38.6,142.2,171.5,4,10
428,267.0,38.6,3.7,0.3,9.8,11.0,1,1
429,208.6,41.5,0.4,0.3,2.5,7.9,1,1
430,667.6,32.2,2.2,0.3,17.6,27.1,2,2
431,407.2,65.1,9.2,13.1,20.7,21.7,2,2
432,220.3,24.7,6.3,0.2,4.1,5.2,1,1
433,360.5,28.6,7.2,18.4,5.4,8.5,1,1
434,257.0,88.0,0.7,1.0,26.9,39.5,2,3
435,250.3,19.1,12.2,1.4,6.1,8.0,1,1
436,667.6,32.2,2.2,0.3,17.6,27.1,2,2
437,260.4,70.1,3.8,1.1,5.2,5.6,1,1
438,277.0,35.4,1.0,0.3,13.8,35.1,1,2
439,217.0,21.6,1.8,0.4,4.3,5.9,1,1
440,774.4,0.2,25.0,13.5,10.4,14.7,1,1
441,2002.7,40.8,98.7,31.5,31.7,34.5,2,3
442,297.1,39.0,14.6,8.9,36.5,48.8,2,4
443,413.9,15.4,11.5,10.5,18.7,22.1,2,2
444,420.6,25.0,0.1,0.1,1.0,1.5,1,1
445,297.1,37.6,1.2,0.3,32.5,111.8,2,3
446,220.3,33.3,2.1,0.9,7.9,8.0,1,1
447,440.6,49.4,3.6,1.3,23.6,26.2,2,2
448,4592.9,10.4,10.3,2.6,161.0,318.1,5,10
449,195.3,50.1,1.4,1.8,4.1,6.4,1,1
450,227.0,27.2,7.3,2.3,6.9,7.9,1,1
451,293.7,40.4,14.9,1.9,7.0,10.4,1,1
452,480.7,33.3,1.3,1.5,7.1,12.1,1,1
453,337.1,21.8,0.5,0.2,1.2,1.9,1,1
454,223.6,47.2,1.9,0.6,2.9,3.7,1,1
455,263.7,12.7,23.3,3.0,7.0,8.6,1,1
456,440.6,31.5,4.4,5.1,10.2,18.4,1,1
457,237.0,98.7,4.0,7.4,8.3,12.0,1,1
458,260.4,19.7,1.4,0.8,2.5,6.3,1,1
