id,country,location_name,latitude,longitude,timezone
70,Guinea,Conakry,9.51,-13.71,Africa/Conakry
71,Guinea-Bissau,Bissau,11.85,-15.58,Africa/Bissau
72,Guyana,Georgetown,6.8,-58.17,America/Guyana
73,Haiti,Port-Au-Prince,18.54,-72.34,America/Port-au-Prince
74,Vatican City,Vatican City,41.9,12.45,Europe/Rome
75,Honduras,Tegucigalpa,14.1,-87.22,America/Tegucigalpa
76,Hungary,Budapest,47.5,19.08,Europe/Budapest
77,Iceland,Hella,63.83,-20.4,Atlantic/Reykjavik
78,India,New Delhi,28.6,77.2,Asia/Kolkata
79,Indonesia,Jakarta,-6.21,106.85,Asia/Jakarta
80,Iran,Tehran,35.73,51.33,Asia/Tehran
81,Iraq,Baghdad,33.34,44.39,Asia/Baghdad
82,Ireland,Dublin,53.33,-6.25,Europe/Dublin
83,Israel,Jerusalem,31.78,35.23,Asia/Jerusalem
84,Italy,Rome,41.9,12.48,Europe/Rome
85,Jamaica,Norman Gardens,17.97,-76.75,America/Jamaica
86,Japan,Tokyo,35.69,139.69,Asia/Tokyo
87,Jordan,Amman,31.95,35.93,Asia/Amman
88,Kazakhstan,Astana,51.18,71.43,Asia/Almaty
89,Kenya,Nairobi,-1.28,36.82,Africa/Nairobi
90,Kiribati,Tarawa,-0.88,169.53,Pacific/Tarawa
91,Kuwait,Kuwait City,29.37,47.96,Asia/Kuwait
92,Kyrghyzstan,Bishkek,42.87,74.6,Asia/Bishkek
93,Indonesia,Laos,-8.18,114.32,Asia/Jakarta
94,Latvia,Riga,56.95,24.1,Europe/Riga
95,Lebanon,Beirut,33.87,35.51,Asia/Beirut
96,Lesotho,Maseru,-29.32,27.48,Africa/Johannesburg
97,Liberia,Monrovia,6.31,-10.8,Africa/Monrovia
98,Thailand,Nan,18.78,100.78,Asia/Bangkok
99,Liechtenstein,Vaduz,47.13,9.52,Europe/Vaduz
100,Lithuania,Vilnius,54.68,25.32,Europe/Vilnius
101,Luxembourg,Luxembourg,49.61,6.13,Europe/Luxembourg
102,Madagascar,Antananarivo,-18.92,47.52,Indian/Antananarivo
103,Malawi,Lilongwe,-13.98,33.78,Africa/Blantyre
104,Malaysia,Kuala Lumpur,3.17,101.7,Asia/Kuala_Lumpur
105,Maldives,Farukolhufunadhoo,6.15,73.27,Indian/Maldives
106,Mali,Bamako,12.65,-8.0,Africa/Bamako
107,Malta,Valletta,35.9,14.51,Europe/Malta
108,Marshall Islands,Majuro,7.1,171.38,Pacific/Majuro
109,Mauritania,Nouakchott,18.09,-15.98,Africa/Nouakchott
110,Mauritius,Port Louis,-20.16,57.5,Indian/Mauritius
111,Mexico,Mexico City,19.43,-99.13,America/Mexico_City
112,Micronesia,Palikir,6.92,158.15,Pacific/Pohnpei
113,Russia,Chi-Chi-Erh,51.7,94.45,Asia/Krasnoyarsk
114,Monaco,Monaco,43.73,7.42,Europe/Monaco
115,Mongolia,Ulaanbaatar,47.92,106.92,Asia/Ulaanbaatar
116,Montenegro,Podgorica,42.44,19.26,Europe/Podgorica
117,Morocco,Rabat,34.03,-6.84,Africa/Casablanca
118,Mozambique,Maputo,-25.97,32.59,Africa/Maputo
119,Myanmar,Pathein,16.78,94.73,Asia/Yangon
120,Namibia,Windhoek,-22.57,17.08,Africa/Windhoek
121,Turkey,Yaren,39.55,27.62,Europe/Istanbul
122,Nepal,Kathmandu,27.72,85.32,Asia/Kathmandu
123,Netherlands,Amsterdam,52.37,4.89,Europe/Amsterdam
124,New Zealand,Wellington,-41.3,174.78,Pacific/Auckland
125,Nicaragua,Managua,12.15,-86.27,America/Managua
126,Niger,Niamey,13.52,2.12,Africa/Niamey
127,Nigeria,Abuja,9.18,7.18,Africa/Lagos
128,North Korea,Pyongyang,39.02,125.75,Asia/Pyongyang
129,Macedonia,Skopje,42.0,21.43,Europe/Skopje
130,Norway,Oslo,59.92,10.75,Europe/Oslo
131,Oman,Muscat,23.61,58.59,Asia/Muscat
132,Pakistan,Islamabad,33.7,73.17,Asia/Karachi
133,Palau,Adkip,7.36,134.51,Pacific/Palau
134,Bolivia,National,-11.18,-67.08,America/La_Paz
135,Panama,Panama City,8.97,-79.53,America/Panama
136,Papua New Guinea,Port Moresby,-9.46,147.19,Pacific/Port_Moresby
137,Paraguay,Carreria,-21.55,-58.12,America/Asuncion
138,Peru,Lima,-12.05,-77.05,America/Lima
139,Philippines,Manila,14.6,120.98,Asia/Manila
140,Poland,Warsaw,52.25,21.0,Europe/Warsaw
141,Portugal,Lisbon,38.72,-9.13,Europe/Lisbon
142,Qatar,Doha,25.29,51.53,Asia/Qatar
143,Romania,Bucharest,44.43,26.1,Europe/Bucharest
144,Russia,Moscow,55.75,37.62,Europe/Moscow
145,Rwanda,Kigali,-1.95,30.06,Africa/Kigali
146,Saint Kitts and Nevis,Basseterre,17.3,-62.72,America/St_Kitts
147,Saint Lucia,Castries,14.0,-61.0,America/St_Lucia
148,Saint Vincent and the Grenadines,Kingstown,13.13,-61.22,America/St_Vincent
149,Samoa,Apia,-13.83,-171.73,Pacific/Apia
150,San Marino,San Marino,43.93,12.45,Europe/Rome
151,Belgium,'S-Gravenwezel,51.27,4.55,Europe/Brussels
152,Saudi Arabia,Riyadh,24.64,46.77,Asia/Riyadh
153,Senegal,Dakar,14.67,-17.44,Africa/Dakar
154,Serbia,Belgrade,44.8,20.47,Europe/Belgrade
155,Seychelles Islands,Victoria,-4.62,55.45,Indian/Mahe
156,Sierra Leone,Freetown,8.49,-13.23,Africa/Freetown
157,Singapore,Singapore,1.29,103.86,Asia/Singapore
158,Slovakia,Bratislava,48.15,17.12,Europe/Bratislava
159,Slovenia,Ljubljana,46.06,14.51,Europe/Ljubljana
160,Solomon Islands,Honiara,-9.43,159.95,Pacific/Guadalcanal
161,Somalia,Mogadishu,2.07,45.37,Africa/Mogadishu
162,South Africa,Pretoria,-25.75,28.19,Africa/Johannesburg
163,South Korea,Seoul,37.57,127.0,Asia/Seoul
164,Sudan,Juba,12.15,24.45,Africa/Khartoum
165,Spain,Madrid,40.4,-3.68,Europe/Madrid
166,Sri Lanka,Colombo,6.93,79.85,Asia/Colombo
167,Sudan,Khartoum,15.59,32.53,Africa/Khartoum
168,Suriname,Paramaribo,5.83,-55.17,America/Paramaribo
169,Sweden,Stockholm,59.33,18.05,Europe/Stockholm
170,Switzerland,Bern,46.92,7.47,Europe/Zurich
171,Syria,Damascus,33.5,36.3,Asia/Damascus
172,Tajikistan,Dushanbe,38.56,68.77,Asia/Dushanbe
173,Tanzania,Dodoma,-6.18,35.75,Africa/Dar_es_Salaam
174,Thailand,Bangkok,13.75,100.52,Asia/Bangkok
175,Indonesia,Murong Timor,-7.56,112.27,Asia/Jakarta
176,Bulgaria,Lom,43.81,23.24,Europe/Bucharest
177,Tonga,Nuku`Aloia,-21.13,-175.2,Pacific/Tongatapu
178,Trinidad and Tobago,Port Of Spain,10.65,-61.52,America/Port_of_Spain
179,Tunisia,Tunis,36.8,10.18,Africa/Tunis
180,Turkey,Ankara,39.93,32.86,Europe/Istanbul
181,Turkmenistan,Ashgabat,37.95,58.38,Asia/Ashgabat
182,Tuvalu,Funafuti,-8.52,179.22,Pacific/Funafuti
183,Uganda,Kampala,0.32,32.57,Africa/Kampala
184,Ukraine,Lviv,49.83,24.0,Europe/Kiev
185,United Arab Emirates,Abu Dhabi,24.47,54.37,Asia/Dubai
186,United Kingdom,London,51.52,-0.11,Europe/London
187,United States of America,Washington Park,46.6,-120.49,America/Los_Angeles
188,Uruguay,Montevideo,-34.86,-56.17,America/Montevideo
189,Uzbekistan,Tashkent,41.32,69.25,Asia/Tashkent
190,Vanuatu,Port Vila,-17.73,168.32,Pacific/Efate
191,Venezuela,Caracas,10.5,-66.92,America/Caracas
192,Vietnam,Hanoi,21.03,105.85,Asia/Bangkok
193,Yemen,Sanaa,15.35,44.21,Asia/Aden
194,Zambia,Lusaka,-15.42,28.28,Africa/Lusaka
195,Zimbabwe,Harare,-17.82,31.04,Africa/Harare
196,Afghanistan,Kabul,34.52,69.18,Asia/Kabul
197,Albania,Tirana,41.33,19.82,Europe/Tirane
198,Algeria,Algiers,36.76,3.05,Africa/Algiers
199,Andorra,Andorra La Vella,42.5,1.52,Europe/Andorra
200,Angola,Luanda,-8.84,13.23,Africa/Luanda
201,Antigua and Barbuda,Saint John's,17.12,-61.85,America/Antigua
202,Argentina,Buenos Aires,-34.59,-58.67,America/Argentina/Buenos_Aires
203,Armenia,Yerevan,40.18,44.51,Asia/Yerevan
204,Australia,Canberra,-35.28,149.22,Australia/Sydney
205,Austria,Vienna,48.2,16.37,Europe/Vienna
206,Azerbaijan,Baku,40.4,49.88,Asia/Baku
207,Bahamas,Nassau,25.08,-77.35,America/Nassau
208,Bahrain,Manama,26.24,50.58,Asia/Bahrain
209,Bangladesh,Dhaka,23.72,90.41,Asia/Dhaka
210,Barbados,Bridgetown,13.1,-59.62,America/Barbados
211,Belarus,Minsk,53.9,27.57,Europe/Minsk
212,Belgium,Brussels,50.83,4.33,Europe/Brussels
213,Belize,Belmopan,17.25,-88.77,America/Belize
214,Benin,Porto-Novo,6.48,2.62,Africa/Porto-Novo
215,Bhutan,Thimphu,27.48,89.6,Asia/Thimphu
216,Bolivia,Sucre,-19.04,-65.26,America/La_Paz
217,Bosnia and Herzegovina,Sarajevo,43.85,18.38,Europe/Sarajevo
218,Botswana,Gaborone,-24.65,25.91,Africa/Gaborone
219,Brazil,Bras,-2.08,-58.17,America/Manaus
220,Brunei Darussalam,Bandar Seri Begawan,4.88,114.93,Asia/Brunei
221,Bulgaria,Sofia,42.68,23.32,Europe/Sofia
222,Burkina Faso,Ouagadougou,12.37,-1.52,Africa/Ouagadougou
223,Burundi,Bujumbura,-3.38,29.36,Africa/Bujumbura
224,Madagascar,Ivory,-24.37,46.45,Indian/Antananarivo
225,Cape Verde,Praia,14.93,-23.51,Atlantic/Cape_Verde
226,Cambodia,Phnom Penh,11.55,104.92,Asia/Phnom_Penh
227,Cameroon,Bafoussam,5.47,10.42,Africa/Douala
228,Canada,Ottawa,45.42,-75.7,America/Toronto
229,Central African Republic,Bangui,4.37,18.58,Africa/Bangui
230,Chad,N'djamena,12.11,15.05,Africa/Douala
231,Chile,Santiago,-33.45,-70.67,America/Santiago
232,China,Beijing,39.93,116.39,Asia/Shanghai
233,Bulgaria,Bogot,43.32,24.7,Europe/Sofia
234,Comoros,Moroni,-11.7,43.24,Indian/Comoro
235,Congo,Brazzaville,-4.26,15.28,Africa/Brazzaville
236,Costa Rica,San Juan,9.97,-84.08,America/Costa_Rica
237,Croatia,Zagreb,45.8,16.0,Europe/Zagreb
238,Cuba,Havana,23.13,-82.36,America/Havana
239,Cyprus,Nicosia,35.17,33.37,Asia/Nicosia
240,Czech Republic,Prague,50.08,14.47,Europe/Prague
241,Democratic Republic of Congo,Kinshasa,-4.3,15.3,Africa/Brazzaville
242,Denmark,Copenhagen,55.67,12.58,Europe/Copenhagen
243,Djibouti,Djibouti,11.6,43.15,Africa/Djibouti
244,Dominica,Roseau,15.3,-61.4,America/Dominica
245,Dominican Republic,Santo Domingo,18.47,-69.9,America/Santo_Domingo
246,Ecuador,Quito,-0.22,-78.5,America/Guayaquil
247,Egypt,Cairo,30.05,31.25,Africa/Cairo
248,El Salvador,San Salvador,13.71,-89.2,America/El_Salvador
249,Equatorial Guinea,Malabo,3.75,8.78,Africa/Malabo
250,Eritrea,Asmara,15.33,38.93,Africa/Asmara
251,Estonia,Tallinn,59.43,24.73,Europe/Tallinn
252,Swaziland,Mbabane,-26.32,31.13,Africa/Mbabane
253,Ethiopia,Addis Ababa,9.03,38.7,Africa/Addis_Ababa
254,Fiji Islands,Suva,-18.13,178.42,Pacific/Fiji
255,Finland,Helsinki,60.18,24.93,Europe/Helsinki
256,France,Paris,48.87,2.33,Europe/Paris
257,Gabon,Libreville,0.38,9.45,Africa/Libreville
258,Gambia,Banjul,13.45,-16.58,Africa/Banjul
259,Georgia,Tbilisi,41.73,44.79,Asia/Tbilisi
260,Germany,Berlin,52.52,13.4,Europe/Berlin
261,Ghana,Accra,5.55,-0.22,Africa/Accra
262,Greece,Athens,37.98,23.72,Europe/Athens
263,Grenada,Saint George's,12.05,-61.75,America/Grenada
264,Guatemala,Guatemala City,14.62,-90.53,America/Guatemala
265,Guinea,Conakry,9.51,-13.71,Africa/Conakry
266,Guinea-Bissau,Bissau,11.85,-15.58,Africa/Bissau
267,Guyana,Georgetown,6.8,-58.17,America/Guyana
268,Haiti,Port-Au-Prince,18.54,-72.34,America/Port-au-Prince
269,Vatican City,Vatican City,41.9,12.45,Europe/Rome
270,Honduras,Tegucigalpa,14.1,-87.22,America/Tegucigalpa
271,Hungary,Budapest,47.5,19.08,Europe/Budapest
272,Iceland,Hella,63.83,-20.4,Atlantic/Reykjavik
273,India,New Delhi,28.6,77.2,Asia/Kolkata
274,Indonesia,Jakarta,-6.21,106.85,Asia/Jakarta
275,Iran,Tehran,35.73,51.33,Asia/Tehran
276,Iraq,Baghdad,33.34,44.39,Asia/Baghdad
277,Ireland,Dublin,53.33,-6.25,Europe/Dublin
278,Israel,Jerusalem,31.78,35.23,Asia/Jerusalem
279,Italy,Rome,41.9,12.48,Europe/Rome
280,Jamaica,Norman Gardens,17.97,-76.75,America/Jamaica
281,Japan,Tokyo,35.69,139.69,Asia/Tokyo
282,Jordan,Amman,31.95,35.93,Asia/Amman
283,Kazakhstan,Astana,51.18,71.43,Asia/Almaty
284,Kenya,Nairobi,-1.28,36.82,Africa/Nairobi
285,Kiribati,Tarawa,-0.88,169.53,Pacific/Tarawa
286,Kuwait,Kuwait City,29.37,47.96,Asia/Kuwait
287,Kyrghyzstan,Bishkek,42.87,74.6,Asia/Bishkek
288,Indonesia,Laos,-8.18,114.32,Asia/Jakarta
289,Latvia,Riga,56.95,24.1,Europe/Riga
290,Lebanon,Beirut,33.87,35.51,Asia/Beirut
291,Lesotho,Maseru,-29.32,27.48,Africa/Johannesburg
292,Liberia,Monrovia,6.31,-10.8,Africa/Monrovia
293,Thailand,Nan,18.78,100.78,Asia/Bangkok
294,Liechtenstein,Vaduz,47.13,9.52,Europe/Vaduz
295,Lithuania,Vilnius,54.68,25.32,Europe/Vilnius
296,Luxembourg,Luxembourg,49.61,6.13,Europe/Luxembourg
297,Madagascar,Antananarivo,-18.92,47.52,Indian/Antananarivo
298,Malawi,Lilongwe,-13.98,33.78,Africa/Blantyre
299,Malaysia,Kuala Lumpur,3.17,101.7,Asia/Kuala_Lumpur
300,Maldives,Farukolhufunadhoo,6.15,73.27,Indian/Maldives
301,Mali,Bamako,12.65,-8.0,Africa/Bamako
302,Malta,Valletta,35.9,14.51,Europe/Malta
303,Marshall Islands,Majuro,7.1,171.38,Pacific/Majuro
304,Mauritania,Nouakchott,18.09,-15.98,Africa/Nouakchott
305,Mauritius,Port Louis,-20.16,57.5,Indian/Mauritius
306,Mexico,Mexico City,19.43,-99.13,America/Mexico_City
307,Micronesia,Palikir,6.92,158.15,Pacific/Pohnpei
308,Russia,Chi-Chi-Erh,51.7,94.45,Asia/Krasnoyarsk
309,Monaco,Monaco,43.73,7.42,Europe/Monaco
310,Mongolia,Ulaanbaatar,47.92,106.92,Asia/Ulaanbaatar
311,Montenegro,Podgorica,42.44,19.26,Europe/Podgorica
312,Morocco,Rabat,34.03,-6.84,Africa/Casablanca
313,Mozambique,Maputo,-25.97,32.59,Africa/Maputo
314,Myanmar,Pathein,16.78,94.73,Asia/Yangon
315,Namibia,Windhoek,-22.57,17.08,Africa/Windhoek
316,Turkey,Yaren,39.55,27.62,Europe/Istanbul
317,Nepal,Kathmandu,27.72,85.32,Asia/Kathmandu
318,Netherlands,Amsterdam,52.37,4.89,Europe/Amsterdam
319,New Zealand,Wellington,-41.3,174.78,Pacific/Auckland
320,Nicaragua,Managua,12.15,-86.27,America/Managua
321,Niger,Niamey,13.52,2.12,Africa/Niamey
322,Nigeria,Abuja,9.18,7.18,Africa/Lagos
323,North Korea,Pyongyang,39.02,125.75,Asia/Pyongyang
324,Macedonia,Skopje,42.0,21.43,Europe/Skopje
325,Norway,Oslo,59.92,10.75,Europe/Oslo
326,Oman,Muscat,23.61,58.59,Asia/Muscat
327,Pakistan,Islamabad,33.7,73.17,Asia/Karachi
328,Palau,Adkip,7.36,134.51,Pacific/Palau
329,Bolivia,National,-11.18,-67.08,America/La_Paz
330,Panama,Panama City,8.97,-79.53,America/Panama
331,Papua New Guinea,Port Moresby,-9.46,147.19,Pacific/Port_Moresby
332,Paraguay,Carreria,-21.55,-58.12,America/Asuncion
333,Peru,Lima,-12.05,-77.05,America/Lima
334,Philippines,Manila,14.6,120.98,Asia/Manila
335,Poland,Warsaw,52.25,21.0,Europe/Warsaw
336,Portugal,Lisbon,38.72,-9.13,Europe/Lisbon
337,Qatar,Doha,25.29,51.53,Asia/Qatar
338,Romania,Bucharest,44.43,26.1,Europe/Bucharest
339,Russia,Moscow,55.75,37.62,Europe/Moscow
340,Rwanda,Kigali,-1.95,30.06,Africa/Kigali
341,Saint Kitts and Nevis,Basseterre,17.3,-62.72,America/St_Kitts
342,Saint Lucia,Castries,14.0,-61.0,America/St_Lucia
343,Saint Vincent and the Grenadines,Kingstown,13.13,-61.22,America/St_Vincent
344,Samoa,Apia,-13.83,-171.73,Pacific/Apia
345,San Marino,San Marino,43.93,12.45,Europe/Rome
346,Belgium,'S-Gravenwezel,51.27,4.55,Europe/Brussels
347,Saudi Arabia,Riyadh,24.64,46.77,Asia/Riyadh
348,Senegal,Dakar,14.67,-17.44,Africa/Dakar
349,Serbia,Belgrade,44.8,20.47,Europe/Belgrade
350,Seychelles Islands,Victoria,-4.62,55.45,Indian/Mahe
351,Sierra Leone,Freetown,8.49,-13.23,Africa/Freetown
352,Singapore,Singapore,1.29,103.86,Asia/Singapore
353,Slovakia,Bratislava,48.15,17.12,Europe/Bratislava
354,Slovenia,Ljubljana,46.06,14.51,Europe/Ljubljana
355,Solomon Islands,Honiara,-9.43,159.95,Pacific/Guadalcanal
356,Somalia,Mogadishu,2.07,45.37,Africa/Mogadishu
357,South Africa,Pretoria,-25.75,28.19,Africa/Johannesburg
358,South Korea,Seoul,37.57,127.0,Asia/Seoul
359,Sudan,Juba,12.15,24.45,Africa/Khartoum
360,Spain,Madrid,40.4,-3.68,Europe/Madrid
361,Sri Lanka,Colombo,6.93,79.85,Asia/Colombo
362,Sudan,Khartoum,15.59,32.53,Africa/Khartoum
363,Suriname,Paramaribo,5.83,-55.17,America/Paramaribo
364,Sweden,Stockholm,59.33,18.05,Europe/Stockholm
365,Switzerland,Bern,46.92,7.47,Europe/Zurich
366,Syria,Damascus,33.5,36.3,Asia/Damascus
367,Tajikistan,Dushanbe,38.56,68.77,Asia/Dushanbe
368,Tanzania,Dodoma,-6.18,35.75,Africa/Dar_es_Salaam
369,Thailand,Bangkok,13.75,100.52,Asia/Bangkok
370,Indonesia,Murong Timor,-7.56,112.27,Asia/Jakarta
371,Bulgaria,Lom,43.81,23.24,Europe/Bucharest
372,Tonga,Nuku`Aloia,-21.13,-175.2,Pacific/Tongatapu
373,Trinidad and Tobago,Port Of Spain,10.65,-61.52,America/Port_of_Spain
374,Tunisia,Tunis,36.8,10.18,Africa/Tunis
375,Turkey,Ankara,39.93,32.86,Europe/Istanbul
376,Turkmenistan,Ashgabat,37.95,58.38,Asia/Ashgabat
377,Tuvalu,Funafuti,-8.52,179.22,Pacific/Funafuti
378,Uganda,Kampala,0.32,32.57,Africa/Kampala
379,Ukraine,Lviv,49.83,24.0,Europe/Kiev
380,United Arab Emirates,Abu Dhabi,24.47,54.37,Asia/Dubai
381,United Kingdom,London,51.52,-0.11,Europe/London
382,United States of America,Washington Park,46.6,-120.49,America/Los_Angeles
383,Uruguay,Montevideo,-34.86,-56.17,America/Montevideo
384,Uzbekistan,Tashkent,41.32,69.25,Asia/Tashkent
385,Vanuatu,Port Vila,-17.73,168.32,Pacific/Efate
386,Venezuela,Caracas,10.5,-66.92,America/Caracas
387,Vietnam,Hanoi,21.03,105.85,Asia/Bangkok
388,Yemen,Sanaa,15.35,44.21,Asia/Aden
389,Zambia,Lusaka,-15.42,28.28,Africa/Lusaka
390,Zimbabwe,Harare,-17.82,31.04,Africa/Harare
391,Afghanistan,Kabul,34.52,69.18,Asia/Kabul
392,Albania,Tirana,41.33,19.82,Europe/Tirane
393,Algeria,Algiers,36.76,3.05,Africa/Algiers
394,Andorra,Andorra La Vella,42.5,1.52,Europe/Andorra
395,Angola,Luanda,-8.84,13.23,Africa/Luanda
396,Antigua and Barbuda,Saint John's,17.12,-61.85,America/Antigua
397,Argentina,Buenos Aires,-34.59,-58.67,America/Argentina/Buenos_Aires
398,Armenia,Yerevan,40.18,44.51,Asia/Yerevan
399,Australia,Canberra,-35.28,149.22,Australia/Sydney
400,Austria,Vienna,48.2,16.37,Europe/Vienna
401,Azerbaijan,Baku,40.4,49.88,Asia/Baku
402,Bahamas,Nassau,25.08,-77.35,America/Nassau
403,Bahrain,Manama,26.24,50.58,Asia/Bahrain
404,Bangladesh,Dhaka,23.72,90.41,Asia/Dhaka
405,Barbados,Bridgetown,13.1,-59.62,America/Barbados
406,Belarus,Minsk,53.9,27.57,Europe/Minsk
407,Belgium,Brussels,50.83,4.33,Europe/Brussels
408,Belize,Belmopan,17.25,-88.77,America/Belize
409,Benin,Porto-Novo,6.48,2.62,Africa/Porto-Novo
410,Bhutan,Thimphu,27.48,89.6,Asia/Thimphu
411,Bolivia,Sucre,-19.04,-65.26,America/La_Paz
412,Bosnia and Herzegovina,Sarajevo,43.85,18.38,Europe/Sarajevo
413,Botswana,Gaborone,-24.65,25.91,Africa/Gaborone
414,Brazil,Bras,-2.08,-58.17,America/Manaus
415,Brunei Darussalam,Bandar Seri Begawan,4.88,114.93,Asia/Brunei
416,Bulgaria,Sofia,42.68,23.32,Europe/Sofia
417,Burkina Faso,Ouagadougou,12.37,-1.52,Africa/Ouagadougou
418,Burundi,Bujumbura,-3.38,29.36,Africa/Bujumbura
419,Madagascar,Ivory,-24.37,46.45,Indian/Antananarivo
420,Cape Verde,Praia,14.93,-23.51,Atlantic/Cape_Verde
421,Cambodia,Phnom Penh,11.55,104.92,Asia/Phnom_Penh
422,Cameroon,Bafoussam,5.47,10.42,Africa/Douala
423,Canada,Ottawa,45.42,-75.7,America/Toronto
424,Central African Republic,Bangui,4.37,18.58,Africa/Bangui
425,Chad,N'djamena,12.11,15.05,Africa/Douala
426,Chile,Santiago,-33.45,-70.67,America/Santiago
427,China,Beijing,39.93,116.39,Asia/Shanghai
428,Bulgaria,Bogot,43.32,24.7,Europe/Sofia
429,Comoros,Moroni,-11.7,43.24,Indian/Comoro
430,Congo,Brazzaville,-4.26,15.28,Africa/Brazzaville
431,Costa Rica,San Juan,9.97,-84.08,America/Costa_Rica
432,Croatia,Zagreb,45.8,16.0,Europe/Zagreb
433,Cuba,Havana,23.13,-82.36,America/Havana
434,Cyprus,Nicosia,35.17,33.37,Asia/Famagusta
435,Czech Republic,Prague,50.08,14.47,Europe/Prague
436,Democratic Republic of Congo,Kinshasa,-4.3,15.3,Africa/Brazzaville
437,Denmark,Copenhagen,55.67,12.58,Europe/Copenhagen
438,Djibouti,Djibouti,11.6,43.15,Africa/Djibouti
439,Dominica,Roseau,15.3,-61.4,America/Dominica
440,Dominican Republic,Santo Domingo,18.47,-69.9,America/Santo_Domingo
